Temparature,Humidity,Windspeed,Rainfall
29.65,68.1,2.1,0
30.45,69.65,1.35,1
30.35,71.4,1.75,1
31.4,66.55,1.8,0
30.95,60.65,2.75,0
31.35,57.8,3.4,0
29.45,64.05,3.35,1
28.4,70.7,3.35,1
27.4,69.8,2.8,0
27.1,74.85,3.05,1
27.7,72.05,3.8,0
29.6,64,3.2,1
29.7,66.95,3.9,1
28.2,73.75,3.55,1
29.1,67.35,4.15,0
29.55,64.3,4.25,0
30.2,65.95,3.35,1
29.2,65.95,3,1
30.6,62.15,4.1,0
29.9,67.65,2.9,1
29.45,63.9,2.75,0
30.8,58.7,3,0
31,58.95,1.95,1
30.15,60.65,1.8,0
29.9,65.05,3,1
31.55,59.75,1.7,0
31.45,63.6,1.45,1
29.65,70.2,1.5,1
29.35,71.05,1.4,0
29.45,71.1,1.5,1
30.55,64.85,2.7,0
30.05,65.3,1.8,1
29.8,63.9,2.8,0
30.1,68.15,1.95,1
27.45,75.7,2.8,1
27,72.35,4.05,0
25.7,84.75,3.05,1
25.3,83.65,3.55,1
26.5,77.25,4.15,0
28.05,75.75,2.7,1
27.15,78.8,3.45,1
23.95,90.4,3.85,1
25.15,87.45,4.55,1
26.8,84.05,3.8,1
27.05,82.9,4,1
26.65,84.15,3.85,1
26.55,84.65,3.65,1
27.15,80.05,4.2,0
28.5,71.65,3.9,0
28.4,69.7,3.55,0
29.15,67.55,2.7,0
29.6,69.25,2.2,0
28.15,73.45,1.6,0
28.95,70.5,2.45,0
29.65,69.15,2.3,0
30.1,63.35,2.15,0
29.9,67.2,1.6,0
27.75,73.4,1.5,0
29.85,68,2,0
29.55,68.1,1.85,0
28.6,69.55,2.15,0
28.2,71.75,2,1
26.35,80.85,1.45,1
28.1,72,2.3,1
28,66.5,2.5,0
28.05,64.1,2.9,0
28.5,61.95,3.7,0
29.3,64,2.3,0
28.7,71.9,1.85,1
27.95,75.5,10.3,1
26.5,82.35,4.25,1
25.3,86.6,7.8,1
26.25,84.6,3.8,1
26.3,80.95,8.7,1
26.5,85.95,12.45,1
27.5,77.9,3.3,0
26.9,82,10.8,1
26.65,80.05,14.65,0
27.25,76.05,15.25,0
27.9,73.73333333,2.65,0
27.48333333,74.93333333,6.95,1
26.23333333,81.35,13.5,1
27.28333333,74.76666667,21.9,0
28.4,71.86666667,25.5,1
28.26666667,74.06666667,9.5,1
28.01666667,74.48333333,6.35,0
27.4,77.5,19.75,1
27.2,79.75,1.7,1
26.9,83.55,32.6,1
27.45,80.15,10.1,1
28.5,71.45,1.6,0
28.8,73.3,28.25,0
27.8,76.95,2.75,1
26.9,84.3,2.65,1
26.91666667,85.6,2.3,1
25.75,81.95,5,1
26.95,78.35,1.75,0
28.26666667,74.6,24.1,0
27.51666667,76.91666667,1.3,1
26.98333333,78.56666667,1.1,0
28.4,71.85,1.45,0
28.85,72.05,1.45,0
27.85,70.3,2.85,1
27.85,72.15,2.3,1
27.3,74.65,1,1
26.8,79.45,14.25,1
28.2,70.8,3.9,0
27.35,77,3.65,1
27.2,77.35,5,1
27,76.9,6.45,0
27.25,75.05,3.25,1
27,77.5,4.65,1
28.05,76.3,4.7,0
27.75,74.1,4.85,0
26.5,77.05,2.45,1
24.85,85.85,2.05,1
26.3,83.1,8.85,1
25.9,78.8,2.65,0
26.15,79.4,9.35,1
25.55,84.95,1.85,1
25.8,80.35,4.05,0
26.4,80.5,12.85,1
27.2,75.75,32.65,1
26.15,77.85,2.65,1
27.4,72.85,1.05,0
27.5,72.4,2.3,0
27.85,75.15,5,0
27,76.15,6.35,1
26.5,79.05,1.75,1
25.7,82.2,2.85,1
26.3,78.8,2.1,0
27.1,77.4,9.25,0
27.05,73,3.8,0
28.25,71.4,32.55,0
28.45,60.9,32.55,0
28.45,61.6,6,0
27.6,65.75,1.65,1
28.25,61.2,4.65,0
27.85,66.45,15.6,0
27.4,64.05,7.25,0
27.25,60.75,29.75,0
26.3,67.25,14.95,0
25.75,62.35,15.35,0
25.35,66.9,6.6,0
25.6,68.3,1.75,0
25.6,70.4,2.65,0
26.7,64.4,9.6,0
26.55,56.75,27.05,0
26.8,60.4,13,0
26.8,66.75,9.5,0
25.55,71.05,17.65,0
25.15,70,17.45,0
25.2,64.15,24.95,0
24.9,64.15,10.35,0
24.6,66.2,6.5,0
25.1,69.3,20.85,0
24.35,67.7,10.15,0
24.7,65.4,21.55,0
25.5,73.8,3.75,0
25.9,71.35,15.6,0
25.7,70.8,8.55,0
25.35,72.15,4.75,0
23.8,82.1,3.4,1
23.63333333,80.75,6.8,0
23.68333333,73.56666667,17.7,0
23.03333333,67.45,17.55,0
22.3,69.43333333,16.75,0
23.31666667,66.4,17.75,0
23.66666667,73.45,27.95,0
23.61666667,71.63333333,2.15,0
23.95,65.5,32.5,0
23.38333333,65.25,32.25,0
23.53333333,63.91666667,24.35,0
24.96666667,64.71666667,23.05,0
24.16666667,69.5,32.7,0
23.78333333,67.8,7.7,0
23.76666667,67.96666667,15.5,0
23.68333333,67.81666667,15.2,0
23.61666667,66.8,23.45,0
23.76666667,63.21666667,22.1,0
23.83333333,62.83333333,13.2,0
23.68333333,67.95,8.3,0
23.16666667,68.28333333,2.65,0
22.95,67.43333333,32.6,0
23.56666667,69.86666667,3.4,0
24.25,66.35,8.85,0
24.28333333,69.06666667,32.55,0
23.58333333,67.06666667,0.9,0
21.31666667,65,16.85,0
22.16666667,66.06666667,5.45,0
23.56666667,68.93333333,32.7,0
22.65,34.75,0.05,0
24.2,41.7,2.85,0
25.6,41.9,3.05,0
26.2,45.75,1.55,0
24.8,52.45,4.15,0
25.45,52.8,0.05,0
25.05,55.5,4.9,0
24.95,49.2,3.6,0
24,45.95,2.35,0
24.25,34.95,2.95,0
24.8,51.45,4.5,0
25.05,57.35,0.35,0
25.4,57.65,0.55,0
24.9,54.85,1.1,0
25.3,51.95,1.35,0
25.3,51.4,3,0
24.4,48.7,2.05,0
25.9,50.85,0.75,0
26,48.7,0.35,0
25.25,47.15,2.15,0
25.85,48.6,3.65,0
25.95,45.8,5.85,0
25.45,50.2,3.55,0
25.9,57.95,0.9,0
26.4,59.25,1.3,0
26.3,55.2,0.45,0
24.35,72.25,0.15,1
19.7,89.65,2.35,1
20.35,83.1,2.65,0
20.8,68,2.45,0
23.3,50.15,1.2,0
24.85,58.45,1.05,0
24.95,53.65,4.8,0
25.75,54.4,5.1,0
25.6,58.25,5,0
25.9,54.75,0.45,0
27.45,50.25,3.95,0
27.6,49.05,4.8,0
27.05,53.8,1.35,0
25.05,52.25,3.4,0
24.95,33.85,3.3,0
26.75,52.1,0.05,0
27.25,59.75,6.2,0
26.65,58.55,0.65,0
28.05,49.4,1.45,0
28.6,49.25,2.15,0
28.8,55.85,3.75,1
28.5,51.75,2.7,0
28.3,48.1,1.1,0
28.6,55.8,1.2,0
30.15,54.75,2.05,0
29.6,52.45,1.4,0
30.7,40.05,2.35,0
31.35,35.4,1.05,0
31.65,34.35,1.85,0
31.85,30.75,4.1,0
29.55,42.4,3.2,0
29.5,48.75,3.7,0
28.25,57.45,0.05,0
28.8,50.7,0.05,0
29.75,55.25,0.15,0
29.5,56.25,1.15,0
30.95,50.45,0.15,0
30.85,49.1,3.05,0
30.35,34.95,3.75,0
29.05,31.05,3.2,0
30.7,46.55,0.15,0
30.9,51.15,3.15,0
30.75,50.5,4.6,0
31.6,50.6,5.1,0
31.95,46.6,4.2,0
32.2,38,6,0
32.45,31.8,3.3,0
32.65,28.2,3.9,0
32.4,27.1,4.15,0
31.1,41.2,7.05,0
31.15,38.1,6.1,0
30.45,48.55,5.85,0
31.55,50.95,5.25,0
31.05,54.15,1.7,0
31.05,49.05,4.05,0
31.15,46.5,1.95,0
33.1,44.9,1.8,0
32.75,43.25,2.4,0
32.75,41.1,2.3,0
33.3,41.65,1.5,0
33.6,38.9,0.55,0
33.8,36.2,1.65,0
34.15,38.45,2.05,0
34.85,32.45,4.2,0
31.1,47.4,3.45,1
34.85,35.05,2.75,0
33.85,45.5,3,0
32.75,49.85,1.2,0
32.25,45.05,3.45,0
31.85,42.9,2.7,1
31.35,49.4,3.6,1
33,37.75,4.9,0
31.95,51,3,1
31.7,49.7,2.35,0
33.2,50.7,3.75,0
34.9,38,3.75,0
32.85,45.35,3.75,1
34.9,38.6,4,0
34.15,34.55,3.5,0
34.25,32.8,4.2,0
34.5,29.45,4.95,0
32.2,43.6,4.6,0
29.7,63.1,2.3,1
31.05,49.95,0.8,0
31.3,46.4,4.3,0
32.05,42.9,3.8,1
29.8,49.9,0.05,1
32,63.25,3.5,0
32.2,68.35,2.9,0
35.45,59.75,3.15,0
36.05,33.8,5.3,0
36.15,36.95,3.35,0
35.5,45.4,3.15,0
36.05,39.1,2.9,0
34.2,44.55,3.25,0
35.4,37.25,6.7,0
34.6,24.8,5.5,0
33.8,30.85,4.9,0
34.6,28.05,4.75,0
35.55,24.6,4.6,0
36.15,24.65,4.9,0
36.75,24.15,4.8,0
35.85,24.3,5.55,0
36,25.6,7.5,0
36.45,34.75,5.45,0
33.25,49.75,0.05,1
35.6,37.6,2.55,0
36.1,33.25,7.25,0
35.7,42.85,4.05,0
34.7,40.25,6.75,0
36,37.1,6.05,0
36.05,33.4,4.4,0
37,28.15,3.45,0
37.35,35.7,3.95,0
37.65,36.1,5.3,1
34.4,49.9,6.65,1
37.85,40.6,4.5,0
35.35,41.85,1.7,0
36.45,36.05,6.05,0
37.5,34.1,4.95,0
37.55,38.6,3.65,0
37.05,40.7,5.4,0
37.85,39.9,4.85,0
36.35,46.9,6.25,0
36.25,43.2,5.7,0
36.45,37.4,3,0
32.9,45.6,2.95,0
35,51.9,5,1
32.95,56.6,3.8,1
32.5,54.05,2.95,0
36.45,43.15,2.55,0
34.55,44.85,6.65,0
32.25,58.95,3.9,1
30.4,61,1.75,0
34.3,47.3,4.3,0
34.35,46.95,1.1,0
34.45,45.4,3.7,0
32.15,53.15,0.4,0
30.4,56.7,2.65,0
31.7,52.9,3.2,0
32.9,46.1,4.2,0
32.95,45.7,3,0
32.05,47.05,4.35,0
32.8,45.75,3.5,0
32.7,50.2,6.95,0
31.55,56,5.1,0
29.9,62.95,3.9,1
29.05,64.8,2.3,0
29,66.4,3.35,1
28.4,69,3.2,1
30.65,64.45,2.1,0
30.2,59.75,2.55,0
30.4,58.2,4.85,1
28.4,63.95,4.5,0
27.65,70.3,5.6,1
25.95,67.95,4.15,0
25.7,73.5,3.75,1
26.75,69.65,5.9,0
28.55,62.65,5.65,1
28.7,64.55,4.7,1
27.1,71.5,6.2,1
27.8,64.45,4.15,0
28.6,63,3.85,1
29.5,61.1,7,0
28.6,63.9,6.45,1
28.8,62.15,7.6,1
28.8,65.15,6.35,1
28.6,64.85,6.2,1
30.1,62.5,6.75,1
29.85,59.65,4.7,0
28.9,65.9,4.1,1
29.5,61.55,4.75,1
31.25,57.65,4.45,0
30.8,59.1,4.4,1
29.8,66.95,4.3,1
28.2,68.2,1.7,0
28.9,64.25,1.3,0
29.95,61.2,3.05,0
29.1,62.3,1.7,0
28.85,62.8,1.65,0
28.85,68.7,2.95,1
26.2,72.55,4.35,1
26.4,70.25,3.6,0
24.6,80.15,3.6,1
24.05,80.9,4.4,1
25.1,76.1,5.7,0
26.85,73,7.2,1
25.9,76.9,4.15,1
23,86.75,3.45,1
23.9,85.15,7.65,1
25.85,77.9,6.35,1
26.05,76.3,4.4,1
26.05,76.1,4.5,1
25.05,78.3,4.45,1
26.5,72.5,1.6,0
27.45,69.75,3.35,0
27.6,67.35,1,0
28.45,64.45,5.75,0
28.3,66.35,4.8,0
27.05,72.8,4.85,1
28.15,67.25,4.1,0
28.7,64.9,3.8,0
29.25,62.2,3.6,0
29.8,63.3,4.6,0
27.1,71.75,0.05,1
29.05,65.75,1.3,0
28.85,66.05,5.3,0
27.8,66.7,5.4,0
27.8,69.4,5.7,1
26.3,73.4,5.05,1
27.65,68.75,4.45,1
27.4,63.5,3.25,0
27.7,61.05,4.5,0
28,60.5,3.1,0
29.05,61,3.7,0
28.85,67.1,0.05,1
27.35,73.9,4.4,1
26.2,74.9,4.2,1
25,80.3,0.05,1
25.3,78.7,0.1,1
25.3,77.05,3.55,1
25.3,82.6,4.05,1
26.95,71.7,0.55,0
26.35,75.95,1.3,1
26.25,73.55,2.15,0
25.95,71.5,4.15,0
27.6,67.85,4.9,0
26.85,70.75,2.95,0
25.9,73.6,3.7,0
26.5,70.9,2.3,0
27.3,70.7,0.1,1
27.15,72.8,2.7,1
28,70.75,4.8,0
26.65,75.3,3.85,1
29.25,70.1,3.15,0
26.85,77.7,0.05,1
27.45,73.25,1.9,1
28.95,65.55,1.7,0
28.55,68.2,0.05,1
27.5,74.25,0.1,1
27.1,75.35,4.25,1
28.5,72.95,0.1,1
26.15,74.25,0.15,1
26.65,75.9,0.75,0
27.85,70.3,2.3,0
26.75,73.5,2.25,1
26.15,76.6,3.2,1
28.4,66.9,3,0
28.45,67.6,3.55,0
28.55,65.25,3.3,1
28.25,66.5,2.75,1
26.95,71.15,2.9,1
27.3,73.05,3.2,1
28.55,65.65,2.85,0
27.35,72.35,3.55,1
27.65,69.8,2.95,1
27.25,71.45,3.25,1
27.8,68.2,3.6,0
28.2,67.45,4.1,1
28.6,69.55,4.05,1
28.05,71.1,2.95,0
28.35,67.45,0.05,1
24.9,79.35,3.4,0
27.95,68.4,3.4,0
27.3,69.95,3.4,0
27.95,69.6,3.4,1
26.35,75.15,3.4,1
27,72.9,2,0
27.8,69.35,1.7,0
27.45,69.85,1.8,0
25.85,73.45,1.75,1
27.35,65.7,2.45,0
27.25,68.8,2.2,0
29.1,66.45,2.05,0
28.75,74.85,2.3,0
27.6,77.1,0.05,1
27.8,68.25,2.45,0
27.05,70.5,3,0
28.05,69.35,1.85,0
29.05,62.3,1.7,0
29,65.75,1.4,0
28.8,56.95,0.1,0
28.9,57.85,1.8,0
26.9,64.4,3.35,1
27.75,59.85,5.55,0
27.4,64.05,1.7,0
26.95,60.15,1.45,0
27.1,58.55,1.4,0
26.65,58.15,2.45,0
26.05,57.05,1.9,0
26.4,60.75,1.95,0
25.75,62.4,1.75,0
25.25,65.15,1.6,0
27.05,59.75,1.3,0
27.05,53.9,1.75,0
27.3,56.6,1.9,0
27.75,61.45,1.35,0
27.25,62.3,0.9,0
27.1,63.1,0.8,0
26.45,60.05,0.55,0
26.45,56.95,2.5,0
25.9,64.65,0.4,0
25.65,58.3,2.7,0
25.35,64.5,0.85,0
27.1,62.65,0.65,0
25.9,59.8,2.6,0
27,58.6,2.3,0
26.95,66.55,0.05,0
27.5,60.1,2.4,0
24.6,70.15,0.05,1
23.7,69.7,1.15,0
24.85,62.4,1.3,0
23.6,58.6,0.85,0
22.35,68.05,0.5,0
25.95,65.05,0.5,0
25.45,60.65,2.4,0
24,69.6,0.05,0
24.5,64.5,0.05,0
23.8,62.85,1.8,0
23.8,63.2,0.2,0
24.95,62.4,0.1,0
24.45,68.45,2.55,0
24.35,66.05,0.6,0
23.9,65.05,1.9,0
24.05,66.35,0.2,0
23.9,62.3,0.45,0
23.95,61.2,0.75,0
24.15,59,1.35,0
24.2,62.3,0.45,0
23.35,66.1,1.65,0
23.25,61.8,0.7,0
23.95,62.2,1.3,0
24.55,59.05,0.7,0
24.4,64,0.95,0
23.65,60.75,3.15,0
22,58.15,3.7,0
22.65,60.1,2.4,0
23.4,61.85,1.35,0
20.8,51.7,0.7,0
23.05,48.05,0.75,0
22.5,47.15,0.75,0
24.95,50.05,0.55,0
25.05,57.1,0.65,0
24.1,54.8,0.7,0
24.8,58.25,0.65,0
25.35,54.25,0.85,0
24.4,48.05,0.6,0
23.1,42.9,0.45,0
24.1,57.8,0.95,0
25.5,57.65,0.85,0
24.95,61.3,0.05,0
24.9,55.45,0.95,0
24.95,57.25,0.95,0
25.05,55.15,0.85,0
25.85,56.35,0.05,0
25.25,54.55,0.7,0
26.4,52.25,0.95,0
24.95,55.7,0.8,0
25.8,53.45,0.8,0
25.95,45.55,1.05,0
27,52.3,0.05,0
26.5,61.8,0.9,0
26.35,62.25,1.15,0
28,58,0.4,0
25.4,81.05,1.2,1
22.15,90.05,0.8,1
20.65,80.8,1.05,0
21.65,56.5,0.85,0
22.6,48.35,0.55,0
24.4,63.65,0.45,0
25.6,59.9,0.9,0
26.25,57.55,0.65,0
26.75,63.95,1,0
26.95,58.3,0.6,0
27.25,53,0.6,0
27.6,50.7,0.2,0
27.8,52.1,0.15,0
27.25,53.5,1,0
25,35.7,0.65,0
28.3,50.55,0.95,0
27.9,62,1.1,0
27.45,64.35,0.1,0
27.55,55.4,0.45,0
28,51.05,1,0
28.5,53.15,0.85,0
28.3,51.1,0.8,0
30.05,47.25,1,0
30.15,55.05,0.8,0
28.75,61.1,1.3,0
29.15,53.3,1.6,0
30.15,44.9,0.15,0
30.5,42.5,0.6,0
29.95,39.45,0.85,0
30.5,31.65,0.75,0
29.1,40.75,0.8,0
29,47.2,0.9,0
28.4,57.85,0.95,0
28.05,47.35,0.9,0
29.7,55.75,0.3,0
27.35,61.15,0.45,0
30.35,51.45,0.8,0
31.3,49.65,1.6,0
28.2,39.05,1.35,0
27.1,38.65,1.05,0
28.6,43.15,1.1,0
28.9,52.1,0.65,0
29.25,49.95,0.95,0
29.4,50.65,1.1,0
29.8,48.1,1,0
30.25,35.6,1.1,0
30.25,33.8,0.85,0
30.3,31.9,0.05,0
29.85,29.35,0.25,0
29,42.8,1.6,0
28.45,42.4,0.6,0
27.15,46.2,0.25,0
29.75,50.95,1.15,0
28.75,54.8,0.4,0
29.75,47.2,0.05,0
30.5,44.05,1,0
30.85,46.7,0.8,0
30.65,43.15,1.1,0
30.55,42.55,1,0
30.9,38.75,0.75,0
31.5,40.45,0.65,0
31.55,35.45,0.85,0
31.85,43.9,1.05,0
32.8,35.2,0.6,0
33.55,42.25,1.35,1
33.1,35.3,1.1,0
32.35,42.6,0.1,0
30.5,47.1,1,0
31.55,42.45,0.15,0
31.5,46,0.1,1
31.15,51,1.6,1
31.65,42.6,1.05,0
31.15,51.45,2.6,1
30.75,49.6,0.55,0
31.65,50.85,0.65,0
33.3,36.85,1.05,0
32,47.95,1.25,1
32.35,42.95,0.6,0
32.35,40,0.05,0
33,32.05,0.1,0
32.15,28.45,0.05,0
31.6,43.1,0.05,0
29.4,63.95,1.4,1
30.15,58.45,0.4,0
30.45,56.25,1.9,1
31.85,45.45,0.15,0
30.1,57.75,1,1
30.7,46.25,1.4,0
31,40.05,0.9,0
33.35,38.15,0.1,0
34.1,36.95,1,0
34.4,40.1,0.85,0
34.4,44.25,0.05,0
34.9,40,1.1,0
33.9,43.7,1.05,0
34.1,38.95,0.15,0
33.65,22.6,1.85,0
33.1,28.35,1.6,0
33.2,27.45,0.15,0
35,23.05,1.3,0
34.75,27.9,1.1,0
36.05,26.65,1.75,0
35.65,26.65,0.35,0
35.5,27.25,0.05,0
36.4,36.55,1.55,0
34.25,42.65,0.05,1
34.55,39.85,1.4,0
35.6,31.75,1.2,0
35.2,43,1.3,0
34.7,40.6,0.05,0
35.6,38.35,1.1,0
36.05,35.5,1.2,0
36.7,31,1.25,0
36.45,36,0.9,0
36.7,36.65,0.3,0
35.75,37.05,0.9,1
36.4,38.4,1,0
35,39.3,0.8,0
35.65,30.25,1.05,0
36.8,26.6,1.4,0
36.95,31.85,1.1,0
36.6,32.9,0.05,0
37.6,32.2,0.6,0
35.15,41.55,1.5,0
35.65,37.1,0.15,0
35.65,36.05,2,0
32.8,48.85,1.15,0
35.6,42.15,4.15,0
33.2,56.25,8,1
32.6,56.1,2,0
36,42,1.7,0
34.5,43.75,8.15,0
32.4,60.6,4.3,1
29.8,66.3,2.45,0
33.8,46.5,2.95,0
34,45.35,2.4,0
34.15,42.7,2.95,0
32.8,48.7,5.15,0
31.95,53.8,5.8,1
32.8,48.8,3.4,0
33.85,42.7,3.65,0
33.65,42,4.6,0
32.85,45,4.25,0
33.4,42.15,4.05,0
33.3,47.3,4.05,0
31.5,62.25,3.5,1
30.8,66.2,3.2,1
28.95,69.9,2.65,0
29.95,69.6,2.25,1
29.15,73.25,1.4,1
30.6,67.6,1.7,0
30.8,59.05,3.35,0
31.3,55.55,3.8,0
29.3,63.4,5.95,0
28.05,72.65,5.15,1
26.65,74.05,2.85,0
26.75,79.25,2.05,1
27.05,74.9,2.2,0
29.4,63.9,4.1,1
29.5,67.7,4.4,1
28.25,73.65,2.15,1
28.85,68,2.75,0
29.55,66.1,6.35,0
29.8,69.6,5.9,1
29.05,67.95,3.15,0
30.15,62.2,4.9,0
29.6,70.05,5.85,1
29.5,68.05,2.75,0
30.65,61.65,3.05,0
30.75,62.55,3.8,1
30.3,60.3,2.5,1
29.95,67.4,3.1,1
31.2,59.6,3,0
30.85,59.7,2.5,1
29.35,70.5,1.6,1
28.9,74.75,1.2,0
29.1,69.45,1.2,1
29.95,64.1,3.15,0
29.4,65.65,2.9,0
29.7,64.3,3.3,0
29.4,65.5,2.8,1
25.95,82.2,4.45,1
26.5,79.65,4.85,0
24.95,87.95,3.45,1
24.4,88.85,4.7,1
25.65,84.4,4.8,0
27.4,80.45,5.95,1
26.45,83.05,3.8,1
23.15,93.7,5.1,1
24.1,89.85,5.4,1
26.3,85.3,5.1,1
26.45,82.65,5.6,1
26.2,82.7,6.15,1
26.2,83.3,5.35,1
26.75,79.65,5.4,0
27.8,73.7,6.25,0
28.3,71.7,4.75,0
28.65,68.75,3.7,0
29,70.6,3,1
28,73.75,2.85,0
28.55,71.3,2.75,0
28.6,69.9,3.1,1
29.25,65.5,3.5,1
29.65,67.8,3.25,1
27.5,73,3.15,0
29.85,67.6,3.45,0
29.2,70,4,0
28.1,70.5,3.6,0
27.9,73.3,3.1,1
27,74.5,3.35,1
27.8,73.2,3.25,1
27.6,67,3.25,0
27.5,63.7,3.65,0
28.1,61.9,3.15,0
29.35,63.25,3,0
28.95,71.2,2.65,1
27.6,78.3,3.15,1
26.05,81.95,3.4,1
25.3,85.3,3.35,1
25.55,83.6,2.65,1
25.8,81.95,3.4,1
25.7,84.35,3.9,1
27.15,76.35,3.8,0
26.3,79.85,4.6,1
26.45,78.8,4.5,0
27.1,76,3.85,0
27.29285714,74.60714286,3.25,0
26.85714286,76.93571429,3.8,1
25.82142857,79.72142857,3.05,1
26.80714286,74.38571429,3.1,0
27.98571429,72.92142857,2.6,1
27.62857143,76.63571429,2.9,1
27.93571429,77.37857143,2.2,1
27.1,78.2,2.45,1
27.5,79.05,3.45,1
27,81.9,1.35,1
27.75,77.4,1.75,1
29,70.2,3.65,0
28.85,72.6,3.7,1
27.65,77.7,2.45,1
26.78571429,79.81428571,3.15,1
26.98571429,81.25,3.55,1
25.97142857,79.72142857,4.1,1
26.78571429,79.39285714,1.5,0
27.75,76.3,2.15,0
27.11428571,77.57857143,2.2,1
26.8,79.8,1.35,1
28.45,72.45,2.2,0
28.2,72.75,2.65,0
28.65,67.65,2.1,1
27.75,72.1,4.5,1
27.5,76.45,1.45,1
26.7,77.55,4.55,1
28.5,71.8,2.9,0
27.3,75.95,2.3,1
